OBJECTID,FID_NOAA_s,Field1,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,Jdate,Year,Month,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,COUNTY_NAM,FID_WI_Cou,DNR_REGION,DNR_CNTY_C,COUNTY_N_1,COUNTY_FIP,Area_km2,Area_mile2
44,394,2635945,GHCND:USC00475473,MILTON WI US,267.00000000000,42.77970000000,-88.94410000000,12/12/2009,346,2009,12,0,254,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,2,South Central Region,54,Rock,105,1879.38154921000,725.63327297100
45,378,2588455,GHCND:USC00472413,EAST TROY WI US,254.20000000000,42.78417000000,-88.39528000000,3/4/2008,64,2008,3,0,102,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
46,21,212023,GHCND:USC00470892,BLANCHARDVILLE NUMBER 2 WI US,253.90000000000,42.80000000000,-89.86667000000,6/9/1998,160,1998,6,6.9,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,1,South Central Region,33,Lafayette,65,1641.79482083000,633.90052429000
47,219,2174738,GHCND:USC00472412,EAST TROY AIRPORT WI US,256.00000000000,42.79806000000,-88.38028000000,5/10/2002,130,2002,5,0,0,0,NA,15.00000000000,5.60000000000,11.10000000000,Walworth,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
48,211,2133076,GHCND:US1WIWW0001,EAST TROY 2.5 NNE WI US,248.40000000000,42.82250000000,-88.38050000000,10/19/2013,292,2013,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
49,600,2799436,GHCND:US1WIWW0005,EAST TROY 4.6 ENE WI US,255.10000000000,42.82220000000,-88.32060000000,3/10/2010,69,2010,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,3,Southeast Region,65,Walworth,127,1492.59826197000,576.29541085700
50,81,810183,GHCND:USC00474546,LANCASTER 4 WSW WI US,317.00000000000,42.83333000000,-90.78333000000,9/13/1990,256,1990,9,0,0,0,NA,28.90000000000,15.60000000000,17.80000000000,Grant,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
51,331,2504463,GHCND:US1WIRC0001,WATERFORD NORTH 3.2 NE WI US,241.10000000000,42.82430000000,-88.17500000000,8/7/2008,220,2008,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,5,Southeast Region,52,Racine,101,881.85699715600,340.48689017200
52,287,2441547,GHCND:US1WIGN0001,BELLEVILLE 1.7 ESE WI US,266.10000000000,42.84890000000,-89.50680000000,4/2/2007,92,2007,4,41.1,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,4,South Central Region,23,Green,45,1512.85498348000,584.11657475900
53,292,2450513,GHCND:US1WIJF0005,WHITEWATER 1.3 NW WI US,256.90000000000,42.84800000000,-88.75420000000,4/21/2008,112,2008,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
54,288,2443558,GHCND:US1WIGT0001,LANCASTER 0.3 N WI US,310.00000000000,42.85320000000,-90.70860000000,4/30/2008,121,2008,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,10,South Central Region,22,Grant,43,3056.07235639000,1179.95613362000
55,172,1797558,GHCND:USC00479190,WHITEWATER WI US,266.70000000000,42.85000000000,-88.73333000000,9/14/1989,257,1989,9,6.1,0,0,NA,13.30000000000,6.10000000000,6.70000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
56,586,2793182,GHCND:US1WIWK0034,MUKWONAGO 5.3 W WI US,250.20000000000,42.85380000000,-88.43550000000,10/2/2013,275,2013,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
57,314,2477595,GHCND:US1WIMW0013,OAK CREEK 2.2 SE WI US,207.90000000000,42.85830000000,-87.86840000000,7/31/2007,212,2007,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
58,346,2525009,GHCND:US1WIWK0009,EAGLE 0.5 SW WI US,288.00000000000,42.87370000000,-88.47840000000,8/1/2007,213,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
59,355,2533707,GHCND:US1WIWK0020,MUKWONAGO 0.5 N WI US,254.20000000000,42.87390000000,-88.33180000000,7/28/2009,209,2009,7,0.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
60,345,2522456,GHCND:US1WIWK0008,BIG BEND 0.1 WNW WI US,253.00000000000,42.88200000000,-88.20460000000,7/31/2007,212,2007,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
61,351,2529895,GHCND:US1WIWK0016,MUSKEGO 1.0 W WI US,239.00000000000,42.89180000000,-88.14230000000,8/19/2007,231,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
62,479,2726804,GHCND:US1WIJF0010,PALMYRA 1.5 N WI US,261.50000000000,42.90080000000,-88.58620000000,4/3/2014,93,2014,4,1.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
63,56,544606,GHCND:USC00472869,FORT ATKINSON WI US,243.80000000000,42.90500000000,-88.85880000000,3/22/2014,81,2014,3,0,0,0,NA,9.40000000000,-5.00000000000,0.60000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
64,510,2744759,GHCND:US1WIMW0032,FRANKLIN 1.7 ENE WI US,227.70000000000,42.89610000000,-87.97890000000,7/14/2015,195,2015,7,0.8,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
65,478,2726760,GHCND:US1WIIW0003,MINERAL POINT 7.3 ENE WI US,304.50000000000,42.91400000000,-90.05700000000,11/17/2015,321,2015,11,1.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,8,South Central Region,25,Iowa,49,1987.50006138000,767.37806390300
66,504,2741986,GHCND:US1WIMW0019,FRANKLIN 1.0 NW WI US,241.10000000000,42.89750000000,-88.02170000000,3/16/2010,75,2010,3,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
67,354,2533426,GHCND:US1WIWK0019,MUSKEGO 0.8 NNE WI US,238.40000000000,42.90130000000,-88.11720000000,4/12/2009,102,2009,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
68,441,2711699,GHCND:US1WIDA0025,OREGON 0.8 SSW WI US,303.90000000000,42.91680000000,-89.38980000000,7/19/2012,201,2012,7,34,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
69,152,1569263,GHCND:USC00478229,STOUGHTON WI US,256.00000000000,42.91667000000,-89.21667000000,5/8/1983,128,1983,5,9.144,0,0,NA,18.90000000000,0.60000000000,3.90000000000,Dane,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
70,508,2744313,GHCND:US1WIMW0028,FRANKLIN 2.4 ENE WI US,224.30000000000,42.90210000000,-87.96660000000,8/24/2014,236,2014,8,1.8,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
71,404,2668797,GHCND:USC00477964,SOUTH MILWAUKEE WWTP WI US,198.10000000000,42.90110000000,-87.84940000000,4/30/2011,120,2011,4,0,NA,NA,NA,12.20000000000,5.00000000000,8.30000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
72,448,2714068,GHCND:US1WIDA0033,OREGON 0.4 SSW WI US,297.50000000000,42.92080000000,-89.38540000000,1/19/2014,19,2014,1,1.8,216,41,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
73,279,2436113,GHCND:US1WIDA0017,EDGERTON 5.9 N WI US,276.10000000000,42.92220000000,-89.09250000000,7/20/2009,201,2009,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
74,440,2710455,GHCND:US1WIDA0022,OREGON 5.3 W WI US,323.10000000000,42.93720000000,-89.48530000000,9/9/2010,252,2010,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
75,312,2476692,GHCND:US1WIMW0010,FRANKLIN 3.5 NE WI US,232.90000000000,42.92230000000,-87.96010000000,8/3/2007,215,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
76,511,2744889,GHCND:US1WIMW0033,HALES CORNERS 0.7 SE WI US,240.20000000000,42.93280000000,-88.04120000000,9/18/2015,261,2015,9,33.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
77,383,2600790,GHCND:USC00473391,HALES CORNERS WHITNALL PK WI US,218.80000000000,42.93690000000,-88.03000000000,1/31/2012,31,2012,1,0,0,0,NA,7.80000000000,-5.00000000000,5.60000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
78,505,2742414,GHCND:US1WIMW0023,GREENDALE 1.0 ENE WI US,244.40000000000,42.94090000000,-87.98230000000,3/4/2012,64,2012,3,0.8,99,3,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
79,47,466456,GHCND:USC00472173,DODGEVILLE WI US,338.30000000000,42.96083000000,-90.11611000000,1/12/2005,12,2005,1,1.8,NA,0,NA,0.60000000000,-6.10000000000,0.60000000000,Iowa,8,South Central Region,25,Iowa,49,1987.50006138000,767.37806390300
80,274,2427973,GHCND:US1WIDA0010,MOUNT HOREB 3.6 SSW WI US,354.20000000000,42.96160000000,-89.76420000000,4/12/2008,103,2008,4,2.3,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
81,507,2743964,GHCND:US1WIMW0025,HALES CORNERS 0.7 NNE WI US,243.20000000000,42.94920000000,-88.04390000000,3/12/2013,71,2013,3,6.4,165,8,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
82,179,1884514,GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.80000000000,42.95000000000,-87.90000000000,7/7/1982,188,1982,7,5.08,0,0,NA,28.90000000000,20.00000000000,0.00000000000,Milwaukee,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
83,202,2109802,GHCND:USC00478316,MILWAUKEE WSFO DOUSMAN WI US,286.50000000000,42.96667000000,-88.55000000000,5/6/1995,126,1995,5,0.3,0,0,NA,23.30000000000,6.70000000000,11.70000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
84,590,2795020,GHCND:US1WIWK0038,NEW BERLIN 1.6 ESE WI US,271.30000000000,42.96170000000,-88.10130000000,6/23/2014,174,2014,6,10.4,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
85,509,2744593,GHCND:US1WIMW0029,CUDAHY 1.1 NNE WI US,211.80000000000,42.96020000000,-87.85460000000,7/7/2014,188,2014,7,4.1,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
86,587,2793983,GHCND:US1WIWK0035,NEW BERLIN 0.6 ESE WI US,282.50000000000,42.96810000000,-88.11850000000,4/6/2014,96,2014,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
87,395,2638958,GHCND:USC00475674,MOUNT HOREB WI US,314.20000000000,42.98778000000,-89.74167000000,3/16/2008,76,2008,3,0,102,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
88,342,2516389,GHCND:US1WIWK0004,WAUKESHA 2.1 SSW WI US,249.00000000000,42.98470000000,-88.25310000000,9/1/2007,244,2007,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
89,442,2711853,GHCND:US1WIDA0026,MOUNT HOREB 1.1 SE WI US,355.40000000000,42.99880000000,-89.71760000000,8/21/2012,234,2012,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
90,388,2617417,GHCND:USC00474108,JEFFERSON WWTP WI US,239.90000000000,42.99440000000,-88.80410000000,1/9/2005,9,2005,1,0,152,0,NA,-3.90000000000,-8.30000000000,-3.90000000000,Jefferson,6,South Central Region,28,Jefferson,55,1508.38394286000,582.39029632300
91,349,2527323,GHCND:US1WIWK0012,WAUKESHA 1.8 SE WI US,294.10000000000,42.99340000000,-88.21440000000,9/1/2007,244,2007,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
92,452,2715377,GHCND:US1WIDA0038,MOUNT HOREB 0.5 W WI US,367.60000000000,43.00950000000,-89.74270000000,3/7/2015,66,2015,3,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
93,164,1714767,GHCND:USC00478937,WAUKESHA WI US,253.00000000000,43.00000000000,-88.21667000000,3/30/1993,89,1993,3,0,NA,0,NA,20.00000000000,2.20000000000,0.00000000000,Waukesha,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
94,316,2479276,GHCND:US1WIMW0018,WEST ALLIS 0.7 SSE WI US,234.10000000000,42.99800000000,-88.02380000000,10/22/2008,296,2008,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,9,Southeast Region,41,Milwaukee,79,627.91293973700,242.43854144100
95,23,236335,GHCND:USC00470929,BLUE MOUNDS 6 SSE WI US,262.10000000000,43.01667000000,-89.73333000000,8/1/1986,213,1986,8,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,11,South Central Region,13,Dane,25,3204.61020522000,1237.30691768000
96,352,2532516,GHCND:US1WIWK0017,WAUKESHA 2.0 WSW WI US,267.60000000000,43.00640000000,-88.27740000000,5/27/2009,147,2009,5,4.1,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,7,Southeast Region,68,Waukesha,133,1503.09165531000,580.34693267800
